CALLS;DEFINED_FOR;TYPE;AC_MODEL;ADEP;ADES;TIME;DEP_TIME;EFL;GOTO;SSR;NSSR;SSR_MODE_OUT;C_MODE;FMS;ACAS;WTC;ADS;MASPS;S_MODE;MODE_S_ADDRESS;REGISTRATION_NUMBER;NSAP_SEL;DATALINK;FLIGHT_RULES;FLRANGE;FLTYP;FLAG1;FLAG2;FLAG3;PATROL;FORCED_CENTRE;FORCED_SECTOR;AIR_MANAGEMENT;ADS_B;ADS_C;ASAS;ASAS_SEQ;ASAS_CROSS;ROUTE_NAME;RFL;TAS_SPEED;SID;STAR;ENTRY_POINT;NEXT_POINT;HEADING;RVSM;SPEED_MODE;CWP_INSTRUCTIONS;FIRST_GROUND_DESIGN;RTA_POINT;RTA_TIME;FLAG6;FLAG7;FLAG8;FLAG9;FLAG10;AIRCRAFT_VERSION;PAYLOAD;FUEL_RESERVE;APPROACH_EQUIPMENT;WTC_RECAT_EU;HOLD_NAME;HOLD_DURATION;POINTi;POINTi;
ICE451;BOTH;B763;B763;EGLL;BIKF;06:09:00;;370;100;0017;;A;Y;NON_EQUIPPED;Y;H;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;RAPAX-THR01;410;466;;2NBASLU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_B;;0;BREKI;BASLU;
WOW2;BOTH;A321;A321;BIKF;EGKK;06:09:00;;;290;4351;;A;Y;FMS_3D;Y;M;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-PETUX;350;459;1APIXUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_B;;0;PIXUM;PETUX;
WZZ1167;BOTH;A320;A320;EPKT;BIKF;06:10:00;;340;100;0032;;A;Y;NON_EQUIPPED;Y;M;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;BRUSI-THR01;340;434;;3NNASBU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_E;;0;MOXAL;NASBU;
WOW2B;BOTH;A321;A321;EGKK;BIKF;06:12:00;;330;100;0034;;A;Y;NON_EQUIPPED;Y;M;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;ROSTI-THR01;330;430;;2NASRUN;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_D;;0;ROSTI;ASRUN;
WOW46B;BOTH;A321;A321;BIKF;EBBR;06:12:00;;;290;5535;;A;Y;FMS_3D;Y;M;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-PETUX;350;449;1APIXUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_C;;0;PIXUM;PETUX;
WOW3C;BOTH;A321;A321;EKCH;BIKF;06:14:00;;350;100;0035;;A;Y;NON_EQUIPPED;Y;M;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;BRUSI-THR01;370;443;;3NNASBU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_D;;0;MOXAL;NASBU;
WOW3;BOTH;A321;A321;BIKF;EKCH;06:15:00;;;290;4325;;A;Y;FMS_3D;Y;M;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-MOXAL;350;456;3AOSKUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_C;;0;OSKUM;MOXAL;
ICE501;BOTH;B763;B763;EHAM;BIKF;06:16:00;;360;100;0041;;A;Y;NON_EQUIPPED;Y;H;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;ROSTI-THR01;360;456;;2NASRUN;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_C;;0;ROSTI;ASRUN;
ICE532;BOTH;B752;B752;BIKF;EDDM;06:18:00;;;290;4323;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-MOXAL;350;459;3AOSKUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_B;;0;OSKUM;MOXAL;
WOW1A;BOTH;A321;A321;LFPG;BIKF;06:18:00;;360;100;0036;;A;Y;NON_EQUIPPED;Y;M;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;RAPAX-THR01;360;444;;2NBASLU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_D;;0;BREKI;BASLU;
WOW4D;BOTH;A321;A321;EDDB;BIKF;06:19:00;;320;100;0047;;A;Y;NON_EQUIPPED;Y;M;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;BRUSI-THR01;320;422;;3NNASBU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_E;;0;MOXAL;NASBU;
ICE520;BOTH;B752;B752;BIKF;EDDF;06:21:00;;;290;4324;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-PETUX;350;459;1APIXUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_D;;0;PIXUM;PETUX;
ICE319;BOTH;B752;B752;ENGM;BIKF;06:22:00;;350;100;0050;;A;Y;NON_EQUIPPED;Y;H;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;BRUSI-THR01;350;459;;3NNASBU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_C;;0;MOXAL;NASBU;
ICE417;BOTH;B752;B752;EIDW;BIKF;06:22:00;;320;100;0052;;A;Y;NON_EQUIPPED;Y;H;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;ROSTI-THR01;360;466;;2NASRUN;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_C;;0;ROSTI;ASRUN;
ICE342;BOTH;B752;B752;BIKF;EFHK;06:24:00;;;290;4317;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-ARNAR;350;450;2ALUTER;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_B;;0;LUTER;ARNAR;
ICE533;BOTH;B752;B752;EDDM;BIKF;06:25:00;;360;100;0044;;A;Y;NON_EQUIPPED;Y;H;Y;Y;NO;;;80;NON_EQUIPPED;I;M;S;0;0;0;;BIRD;ACC;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;BRUSI-THR01;360;460;;3NNASBU;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_C;;0;MOXAL;NASBU;
ICE416;BOTH;B752;B752;BIKF;EIDW;06:27:00;;;290;4233;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-PETUX;350;444;1APIXUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_D;;0;PIXUM;PETUX;
ICE500;BOTH;B763;B763;BIKF;EHAM;06:30:00;;;290;4313;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-PETUX;350;444;1APIXUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_D;;0;PIXUM;PETUX;
ICE450;BOTH;B763;B763;BIKF;EGLL;06:33:00;;;290;4312;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-PETUX;350;450;1APIXUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_C;;0;PIXUM;PETUX;
ICE16A;BOTH;B752;B752;BIKF;EDDT;06:36:00;;;290;1126;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-MOXAL;350;449;3AOSKUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_C;;0;OSKUM;MOXAL;
ICE318;BOTH;B752;B752;BIKF;ENTO;06:39:00;;;290;4115;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-ARNAR;350;459;2ALUTER;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_B;;0;LUTER;ARNAR;
ICE10M;BOTH;B752;B752;BIKF;LSZH;06:42:00;;;290;1125;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-MOXAL;350;450;3AOSKUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_E;;0;OSKUM;MOXAL;
ICE204;BOTH;B753;B753;BIKF;EKCH;06:45:00;;;290;4357;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-MOXAL;350;444;3AOSKUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_D;;0;OSKUM;MOXAL;
ICE52T;BOTH;B752;B752;BIKF;EGCC;06:48:00;;;290;4321;;A;Y;FMS_3D;Y;H;N;Y;NO;;;80;NON_EQUIPPED;I;L;S;0;0;0;;BIRD;CTR;MASS;NON_EQUIPPED;NON_EQUIPPED;NON_EQUIPPED;BASIC;BASIC;THR01-PETUX;350;440;1APIXUM;;;;;RVSM;MANUAL;;;;;;;0;0;0;;60;100;VISUAL;CAT_D;;0;PIXUM;PETUX;
